,label,Oracle,Avg Ens,best_ad_train,average_ad_train,worst_ad_train,best_ad_test,average_ad_test,worst_ad_test,sit_stem_original_512_score,sit_stem_original_512_class,sit_stem_original_512_inf,rocket_128_score,rocket_128_class,rocket_128_inf,resnet_default_1024_score,resnet_default_1024_class,resnet_default_1024_inf,convnet_default_128_score,convnet_default_128_class,convnet_default_128_inf,knn_1024_score,knn_1024_class,knn_1024_inf
IOPS/KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,POLY,0.5319426480339934,0.1037512304037057,0.0415953274164724,0.0985138000832853,0.0101117532954748,0.1779924391634852,0.0985138000832853,0.0052790839387917,0.0135025591700622,PCA,0.0577217519748955,0.0135025591700622,PCA,0.1544968634843826,0.0135025591700622,PCA,0.0225807779934257,0.5319426480339934,POLY,0.0441202939255163,0.0415953274164724,NORMA,0.1174968238919973
IOPS/KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.train.out,POLY,0.530199211640583,0.2289254639598577,0.0445404163599876,0.12380429309399814,0.0106157464721529,0.3843134454314182,0.12380429309399814,0.0177377192744056,0.0229761566011334,PCA,0.0583482340443879,0.0229761566011334,PCA,0.17183718085289,0.0229761566011334,PCA,0.0222980059916153,0.5301992116405829,POLY,0.0442011050181463,0.015260096791925,HBOS,0.1202282784506678
IOPS/KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,MP,0.189429341690354,0.0594927607075347,0.0194685966406317,0.04271306313614407,0.0083738933871585,0.0935224433699061,0.04271306313614407,0.018306200519753,0.0799507766297539,LOF,0.0103378699859604,0.0110613805811735,PCA,0.1112085999920964,0.0151612510586391,CNN,0.0034152179723605,0.0200342292012377,POLY,0.0038593260105699,0.0070680086646973,HBOS,0.1125247851014137
IOPS/KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.train.out,IFOREST1,0.0425725867007528,0.0181196645308636,0.002954576693791,0.012841702440634798,0.0024578020778113,0.0404623567049785,0.012841702440634798,0.0026545103726661,0.0032677033422288,LOF,0.0104927769862115,0.0051014813446228,PCA,0.1237198775634169,0.0391746315503005,CNN,0.0033948019845411,0.0391746315503005,CNN,0.0038140589604154,0.0042874395302946,MP,0.115379805676639
IOPS/KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,POLY,0.4590782376769533,0.0911956518336515,0.0224908324121676,0.10717255958866938,0.0059954017768506,0.2297829654099068,0.10717255958866938,0.0073969351255742,0.0094225624562608,PCA,0.058134707971476,0.0094225624562608,PCA,0.181161418557167,0.0094225624562608,PCA,0.0226151630049571,0.4590782376769533,POLY,0.043575535994023,0.0224908324121676,NORMA,0.1204226622357964
IOPS/KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.train.out,POLY,0.5803790197704206,0.2360706877628205,0.0462288154469691,0.14587800264118533,0.0115082950657881,0.5073453123165975,0.14587800264118533,0.0081756427769443,0.0294645916549776,PCA,0.0588805190054699,0.0294645916549776,PCA,0.1683298228308558,0.5803790197704206,POLY,0.0222600710112601,0.5803790197704206,POLY,0.0434368139831349,0.0221498330506928,HBOS,0.1184760108590126
IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,LSTM,0.0806927591438901,0.0872945857413763,0.0542789519304019,0.05118497765252039,0.0406459699606148,0.0540137949237064,0.05118497765252039,0.0380863749569215,0.0640600297524241,LOF,0.0111239639809355,0.0352035835460664,PCA,0.0750166103243827,0.0613870552092049,CNN,0.0033988889772444,0.0613870552092049,CNN,0.0038204110460355,0.0330566558017571,HBOS,0.110106342472136
IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.train.out,LSTM,0.069529787134405,0.0401964203679067,0.020805034592452,0.028953841435386814,0.0262026762517972,0.0265239888895331,0.028953841435386814,0.0296170418264185,0.0245822670948855,LOF,0.0103416240308433,0.0236922598122181,PCA,0.1211109589785337,0.0305327063293072,CNN,0.0033910180209204,0.0305327063293072,CNN,0.0037875269772484,0.0245822670948855,LOF,0.1100247716531157
IOPS/KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out,IFOREST1,0.4403889095982994,0.0924990831421942,0.0090111816467617,0.07643852912329215,0.0174089271753325,0.4403889095982994,0.07643852912329215,0.0153864061021759,0.0592435943420706,PCA,0.0588276369962841,0.0592435943420706,PCA,0.2294733729213476,0.1628702628431919,POLY,0.0225722510367631,0.1628702628431919,POLY,0.0447004319867119,0.0090111816467617,NORMA,0.1197388600558042
IOPS/KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.train.out,IFOREST1,0.5522009486672798,0.3708138891120184,0.0201688707298239,0.13684339199394793,0.0293554895903875,0.5522009486672798,0.13684339199394793,0.0186702501058432,0.0415823574701515,PCA,0.0579287490108981,0.0415823574701515,PCA,0.1968522537499666,0.5294761777432311,POLY,0.022410394041799,0.5294761777432311,POLY,0.0431161189917475,0.0201688707298239,NORMA,0.1181637123227119
