,label,Oracle,Avg Ens,best_ad_train,average_ad_train,worst_ad_train,best_ad_test,average_ad_test,worst_ad_test,knn_1024_score,knn_1024_class,knn_1024_inf,resnet_default_1024_score,resnet_default_1024_class,resnet_default_1024_inf,convnet_default_128_score,convnet_default_128_class,convnet_default_128_inf,sit_stem_original_512_score,sit_stem_original_512_class,sit_stem_original_512_inf,rocket_128_score,rocket_128_class,rocket_128_inf
Occupancy/room-occupancy-0.test.csv@1.out,IFOREST,0.8140585587611349,0.78623,0.4520560341581019,0.6056140245788328,0.6595525198901381,0.7829164858788172,0.6056140245788328,0.2293350853154755,0.2293350853154755,MP,0.113035837188363,0.5650450927234733,POLY,0.0032435309840366,0.5650450927234733,POLY,0.0018149890238419,0.7829164858788172,HBOS,0.0105251590721309,0.7829164858788172,HBOS,0.1150258556008338
Occupancy/room-occupancy-0.test.csv@2.out,IFOREST,0.7081821667105743,0.75731,0.3621080158919152,0.5554867588532738,0.5373840323846021,0.6590265910623047,0.5554867588532738,0.3268247670998967,0.7081821667105743,IFOREST,0.1162478104233741,0.6416667155204573,CNN,0.0032541410764679,0.6899846845452439,POLY,0.0018104730406776,0.6590265910623047,HBOS,0.0102948599960654,0.504294136196683,LOF,0.1066504400223493
Occupancy/room-occupancy-0.test.csv@3.out,PCA,0.9280155501742976,0.83623,0.8940826843270505,0.6249741647525018,0.217620372288242,0.8753005222843337,0.6249741647525018,0.2141121166862601,0.7857833230843854,IFOREST1,0.1179944574832916,0.2141121166862601,MP,0.0032577950041741,0.2141121166862601,MP,0.0018177959136664,0.8753005222843337,HBOS,0.0104887090856209,0.8753005222843337,HBOS,0.1054514311254024
Occupancy/room-occupancy-0.test.csv@4.out,IFOREST,0.8511595159204249,0.86869,0.3311706353543596,0.6223703064667823,0.6680917757504213,0.8217313136497127,0.6223703064667823,0.274275322611831,0.7286608434661326,POLY,0.110171977430582,0.7286608434661326,POLY,0.0032540130196139,0.7286608434661326,POLY,0.0018070569494739,0.6828598596556845,LSTM,0.0103979089763015,0.3755120923797585,LOF,0.1175823863595724
Occupancy/room-occupancy-0.test.csv@5.out,IFOREST,0.8636880901580752,0.87634,0.6400108959584286,0.6629006860610048,0.6690287580359721,0.8013421137464414,0.6629006860610048,0.3085356436076242,0.6675819875702728,POLY,0.1244858559221029,0.6726994773345736,CNN,0.0052591039566323,0.6675819875702728,POLY,0.0019157619681209,0.6690287580359721,OCSVM,0.0109832939924672,0.8013421137464414,HBOS,0.1271988004446029
Occupancy/room-occupancy-1.test.csv@3.out,PCA,0.9106749047509424,0.6521,0.127891794681783,0.456176611463833,0.1987948209951724,0.8132174955064806,0.456176611463833,0.1153371015095896,0.5403773050049698,IFOREST1,0.121546528302133,0.1153371015095896,MP,0.0034149429993703,0.1153371015095896,MP,0.0037844430189579,0.5403773050049698,IFOREST1,0.0104527299990877,0.8132174955064806,HBOS,0.1143179405480623
Occupancy/room-occupancy-1.test.csv@4.out,OCSVM,0.446522177887776,0.30615,0.1389194177235355,0.27787798281039694,0.446522177887776,0.3724717539212909,0.27787798281039694,0.1372001653441904,0.3724717539212909,HBOS,0.1094599235802888,0.4041922496377433,POLY,0.003822267986834,0.3962530051590031,IFOREST,0.0039466290036216,0.3654918715212541,IFOREST1,0.1165826030774042,0.3724717539212909,HBOS,0.1098205083981156
Occupancy/room-occupancy.train.csv@3.out,PCA,0.8921703528736641,0.80944,0.142194533968672,0.5197273529173662,0.7423888305983087,0.7816026867903879,0.5197273529173662,0.1076961173252789,0.4196277110562575,IFOREST1,0.1122742323204875,0.7816026867903879,HBOS,0.0033420829568058,0.1076961173252789,MP,0.0033233700087293,0.4196277110562575,IFOREST1,0.0106464739656075,0.7816026867903879,HBOS,0.1127840913832187
Occupancy/room-occupancy.train.csv@4.out,HBOS,0.8092962995832137,0.83077,0.4607183958421261,0.5278360003309899,0.5418341866123171,0.8092962995832137,0.5278360003309899,0.1271955033143764,0.4607183958421262,NORMA,0.1239606551826,0.2288175478618892,LSTM,0.0035581029951572,0.2288175478618892,LSTM,0.0033738149795681,0.718515208202909,IFOREST1,0.0259937650989741,0.8092962995832137,HBOS,0.1183559941127896
Occupancy/room-occupancy.train.csv@5.out,POLY,0.722739828661656,0.69188,0.140991240101663,0.39675520391854846,0.4679044776202626,0.4530079051148528,0.39675520391854846,0.1539172393662273,0.4530079051148528,HBOS,0.1229939935728907,0.722739828661656,POLY,0.0033449430484324,0.722739828661656,POLY,0.0033170760143548,0.4530079051148528,HBOS,0.0107658780179917,0.4530079051148528,HBOS,0.1176650496199727
