dataset,filename,NORMA,IFOREST1,IFOREST,MP,HBOS,POLY,OCSVM,AE,PCA,LOF,CNN,LSTM,Avg Ens.
Daphnet,S01R02E0.test.csv@4.out,3.9220666885376,8.33711266517639,10.5050113201141,5.42510294914246,9.17781686782837,0.233943223953247,1.40991163253784,59.4466524124146,1.58905911445618,734.438724040985,79.9495038986206,255.727287530899,1170.16219234467
Daphnet,S02R01E0.test.csv@3.out,3.90097963809967,4.22154569625855,8.47658705711365,4.80178070068359,5.07763338088989,0.349752902984619,1.97987461090088,93.3776016235352,1.0341637134552,401.62190580368,60.3228287696838,332.938276529312,918.102930426598
Daphnet,S03R01E1.test.csv@2.out,20.7905263900757,5.49000358581543,5.32866418361664,5.24996864795685,1.6139885187149,1.24498772621155,0.75316309928894,46.3682923316956,0.29935622215271,33.7830948829651,42.7347509860992,87.0458521842957,250.702648758888
Daphnet,S03R01E1.test.csv@4.out,6.82910573482513,4.47561502456665,8.46896886825562,7.88513922691345,1.98164081573486,3.36820149421692,1.46574425697327,96.7991831302643,0.255401372909546,44.5359013080597,85.0408420562744,140.593940258026,401.69968354702
Daphnet,S03R01E1.test.csv@7.out,23.9726971387863,7.40083646774292,3.97492122650146,3.81362855434418,1.13051044940948,1.08061015605927,0.608909130096436,46.2649840116501,0.307330369949341,17.5499114990234,29.3679322004318,71.1403967142105,206.612667918205
Daphnet,S03R02E0.test.csv@1.out,0.567783355712891,3.01055097579956,13.8817195892334,1.86488103866577,11.6746709346771,0.0822346210479736,1.3040554523468,19.5115628242493,3.99982237815857,235.198236703873,34.6087129116058,225.601139307022,551.305370092392
Daphnet,S03R03E4.test.csv@2.out,0.228147268295288,2.17617964744568,2.47137784957886,0.299309730529785,1.57273042201996,0.0749361515045166,0.140803813934326,13.5189551115036,0.436049461364746,41.4093996286392,9.0348858833313,50.9295626878738,122.292337656021
Daphnet,S03R03E4.test.csv@3.out,0.162394285202026,0.903335809707642,2.93243026733398,0.356452941894531,1.78120100498199,0.12251877784729,0.226799011230469,8.89390742778778,0.504693031311035,41.4133604764938,9.70641672611237,43.1093505620956,110.112860321999
Daphnet,S03R03E4.test.csv@6.out,0.849392294883728,1.85733985900879,3.20286250114441,0.559255599975586,0.96558141708374,0.535520792007446,0.0815150737762451,35.5858008861542,0.173404932022095,1.51332783699036,32.6648576259613,68.5985026359558,146.587361454964
Daphnet,S08R01E0.test.csv@4.out,0.952682971954346,3.92262625694275,8.51423144340515,1.51283431053162,4.99703574180603,0.131494522094727,0.580291986465454,37.6855974197388,0.834168672561646,193.087668895721,31.7681429386139,154.901854515076,438.888629674912
Daphnet,S09R01E0.test.csv@5.out,0.191339254379272,2.47193670272827,5.9399881362915,0.601352691650391,2.82255816459656,0.153228759765625,0.522128105163574,37.1128115653992,0.731924295425415,93.2273650169373,21.9691154956818,111.301642417908,277.045390605927
Daphnet,S09R01E2.test.csv@8.out,7.79031312465668,8.26189279556274,17.9795520305634,6.4983229637146,13.7698521614075,0.683526515960693,2.34723806381226,55.1271495819092,1.68185830116272,1060.44259238243,87.4144024848938,383.814999580383,1645.81169998646
Daphnet,S09R01E4.test.csv@3.out,0.182572841644287,2.64036989212036,3.7314612865448,0.457725524902344,2.50362634658813,0.135727643966675,0.190154314041138,16.8142621517181,0.52717924118042,53.0897274017334,18.0600292682648,58.0758082866669,156.408644199371
ECG,MBA_ECG14046_data_17.out,10.6046131849289,8.83993339538574,52.0043261051178,76.0749945640564,20.4468529224396,0.566110134124756,38.2507214546204,30.3146953582764,3.3122501373291,2282.01065039635,110.17053604126,1294.50299334526,3927.09867703915
ECG,MBA_ECG14046_data_29.out,12.329873085022,8.40334844589233,116.378098011017,175.736642837524,57.1222192049027,1.44585430622101,72.4310340881348,59.1946103572846,3.57236862182617,2955.94291675091,199.669988274574,2009.74753391743,5671.97448790073
ECG,MBA_ECG14046_data_32.out,8.17753505706787,9.6329460144043,71.3377197980881,84.1123621463776,31.0875887870789,0.884801745414734,47.7114461660385,27.3540586233139,3.424485206604,1996.99673748016,156.791624546051,1382.06586527824,3819.57717084885
ECG,MBA_ECG14046_data_33.out,18.9066904783249,8.42550587654114,116.498851180077,191.674780130386,65.3358904123306,1.88659870624542,80.8939586877823,55.4654610157013,3.70520710945129,4704.13764429092,272.659765958786,2073.60178256035,7593.1921364069
ECG,MBA_ECG14046_data_6.out,15.1253613233566,8.43059086799622,52.9992592334747,80.0436544418335,21.2142150402069,0.569782972335815,39.1480939388275,23.1185884475708,3.39179491996765,3958.58990073204,125.881226301193,719.383790493012,5047.89625871182
ECG,MBA_ECG14046_data_7.out,281.275936365128,7.98735094070435,13.2928738594055,170.582988023758,1.92261552810669,8.98339676856995,13.149174451828,104.731036186218,0.154335737228393,41.0713102817535,240.504963874817,432.629926919937,1316.28590893745
ECG,MBA_ECG806_data.out,15.1700518131256,7.56168866157532,54.7345740795136,108.88057756424,21.3997046947479,1.1741509437561,42.6826810836792,107.447236061096,2.4809467792511,970.014907836914,153.879796504974,1369.50923848152,2854.93555450439
ECG,MBA_ECG820_data.out,9.05270886421204,7.03579187393189,85.6003060340881,107.139491915703,34.3084424734116,0.953999042510986,54.5982407331467,60.8488571643829,3.42021727561951,1127.91895627975,187.209110736847,1488.86488878727,3166.95101118088
GHL,01_Lev_fault_Temp_corr_seed_11_vars_23.test.csv@4.out,6.50710964202881,22.0465915203094,167.861864566803,244.182465553284,113.921931505203,1.48729276657105,132.167308330536,67.5280537605286,16.7524878978729,513.474991321564,524.989416837692,2641.24851775169,4452.16803145409
GHL,01_Lev_fault_Temp_corr_seed_11_vars_23.test.csv@8.out,3.13761568069458,12.593368768692,61.3956401348114,83.1878056526184,28.9523184299469,0.638988971710205,43.1040213108063,28.0620837211609,18.1317200660706,8731.00380015373,87.3706181049347,855.941373825073,9953.51935482025
GHL,02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@10.out,2.92526531219482,11.9447960853577,48.4402992725372,72.9372606277466,27.3633444309235,0.666457414627075,38.0110881328583,32.6263725757599,16.1163969039917,8655.80582737923,106.003837585449,1121.62838172913,10134.4693274498
GHL,02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@2.out,3.9039591550827,22.7184643745422,170.428349733353,245.482711791992,114.52622461319,1.83290696144104,115.379285812378,60.7527549266815,17.4943840503693,143.537774085999,406.244468450546,3376.41193199158,4678.71321594715
GHL,02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@4.out,7.41868841648102,23.8149025440216,55.5660302639008,51.5693643093109,23.1304566860199,0.426779985427856,36.5485606193542,19.5227906703949,16.7496304512024,113.949860811234,78.0010364055634,1173.67010974884,1600.36821091175
GHL,03_Lev_fault_Temp_corr_seed_19_vars_23.test.csv@10.out,3.15932965278625,14.0499024391174,49.5222971439362,75.4045708179474,29.0584487915039,0.569671869277954,39.713299036026,20.4499981403351,14.2666139602661,8738.36865520477,85.3574144840241,1124.6300239563,10194.5502254963
GHL,03_Lev_fault_Temp_corr_seed_19_vars_23.test.csv@2.out,3.59161114692688,26.937037229538,218.921490192413,283.404323577881,125.596084356308,2.79800724983215,165.677602052689,132.351416110992,15.3429052829742,162.04064822197,377.638288497925,2754.39033675194,4268.68975067139
GHL,03_Lev_fault_Temp_corr_seed_19_vars_23.test.csv@4.out,8.6770133972168,22.9592728614807,140.20668721199,236.402566432953,114.165234804153,1.33294534683228,117.806151390076,130.054316997528,21.4949884414673,534.647404670715,410.408289909363,2923.01619648933,4661.17106795311
GHL,04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@2.out,4.21647238731384,19.8799595832825,52.1207566261292,53.9563918113709,24.0467865467072,0.423890113830566,37.8406529426575,15.4997560977936,12.8286869525909,37.7008709907532,82.102796792984,619.789883852005,960.406904697418
GHL,04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@8.out,3.68219542503357,16.5674993991852,51.3800206184387,75.3070321083069,29.4094576835632,0.887153387069702,38.9873850345612,32.8018972873688,16.6174774169922,8654.59190320969,72.1710305213928,1229.6294631958,10222.0325152874
GHL,05_Lev_fault_Temp_corr_seed_27_vars_23.test.csv@13.out,5.46647226810455,19.3756537437439,242.232202291489,245.51988697052,126.694633722305,3.25561499595642,133.798231124878,87.6385204792023,15.3787662982941,123.378194570541,417.655362844467,2298.90166330338,3719.29520261288
GHL,05_Lev_fault_Temp_corr_seed_27_vars_23.test.csv@4.out,7.32309424877167,21.111442565918,161.562428236008,240.398257732391,117.461540460587,1.11571884155273,131.836173772812,76.6934945583344,16.6774749755859,467.902652263641,411.057772636414,2816.04513669014,4469.18518698215
GHL,07_Lev_fault_Temp_corr_seed_31_vars_23.test.csv@10.out,3.60502815246582,10.8741970062256,37.9679012298584,46.6258392333984,23.8106117248535,0.323540925979614,28.9205968379974,11.2399351596832,20.7025072574615,7091.03074240685,72.4073197841644,790.374921560287,8137.88314127922
GHL,07_Lev_fault_Temp_corr_seed_31_vars_23.test.csv@4.out,8.5275069475174,15.3187022209167,42.6245286464691,52.2519748210907,22.4788193702698,0.414121389389038,36.490697145462,16.6252992153168,14.6211512088776,129.681362867355,74.7792766094208,964.528594017029,1378.34203445911
GHL,08_Lev_fault_Temp_corr_seed_33_vars_23.test.csv@4.out,7.37899148464203,16.2454421520233,53.3899142742157,52.9627749919891,23.2884039878845,0.431131839752197,36.485907793045,11.812726020813,16.2626504898071,106.358078241348,81.8430514335632,731.215080738068,1137.67415344715
